log_stamp,Heartbeat.usage
1180.554445,
1180.654455,
1180.754462,
1180.854466,
1180.954483,
1181.054487,
1181.154494,
1181.254508,
1181.354508,
1181.454524,
1181.554532,
1181.654556,
1181.754561,
1181.854597,
1181.954599,
1182.054635,
1182.154639,
1182.354664,
1182.454704,
1182.554712,
1182.654768,
1182.754768,
1182.854828,
1182.954831,
1183.054906,
1183.154907,
1183.254941,
1183.354949,
1183.455024,
1183.55503,
1183.655078,
1183.755081,
1183.855135,
1183.955137,
1184.055179,
1184.155187,
1184.255217,
1184.355233,
1184.455262,
1184.555268,
1184.655328,
1184.755329,
1184.855353,
1184.955361,
1185.055384,
1185.155393,
1185.255424,
1185.355426,
1185.455461,
1185.555473,
1185.655498,
1185.755514,
1185.855548,
1185.955554,
1186.055587,
1186.155589,
1186.255635,
1244.36695,
1244.467012,
1244.567013,
1244.66707,
1244.767081,
1244.867128,
1244.96713,
1245.067183,
1245.167232,
1245.267236,
1245.367238,
1245.467241,
1245.567242,
1245.667307,
1245.767313,
1245.86737,
1245.967376,
1246.067398,
1246.16741,
1246.267448,
1246.36745,
1246.467497,
1246.567499,
1246.667546,
1246.767549,
1246.867566,
1246.967568,
1247.067612,
1247.167616,
1247.267643,
1423.789728,
1423.889748,
1423.989744,
1424.089768,
1424.189771,
1424.289793,
1424.389793,
1424.489799,
1424.589802,
1424.68983,
1424.78984,
1424.889847,
1424.989854,
1425.089895,
1425.189897,
1425.28993,
1425.389943,
1425.489963,
1425.589969,
1425.689996,
1671.920601,0.12816052491035324
1672.020624,0.12816052491035324
1672.120629,0.1283588921950103
1672.22068,0.1283588921950103
1672.320686,0.1283588921950103
1672.420704,0.1283588921950103
1672.520705,0.1283588921950103
1672.620741,0.1283588921950103
1672.720742,0.1283588921950103
1672.820791,0.1283588921950103
1672.920798,0.1283588921950103
1673.020811,0.12991531242847335
1673.120819,0.12991531242847335
1673.220853,0.12991531242847335
1673.320861,0.12991531242847335
1673.420873,0.12991531242847335
1673.520874,0.12991531242847335
