log_stamp,IMUData.z,IMUData.seq
1424.06971,0.8958791208791209,5181
1424.089799,0.8958791208791209,5182
1424.109933,0.8958791208791209,5183
1424.129995,0.8958791208791209,5184
1424.150075,0.8958791208791209,5185
1424.170138,0.8958791208791209,5186
1424.190223,0.8958791208791209,5187
1424.210416,0.8958791208791209,5188
1424.230556,0.8958791208791209,5189
1424.250676,0.8958791208791209,5190
1424.270807,0.8958791208791209,5191
1424.291045,0.895909645909646,5192
1424.311111,0.895909645909646,5193
1424.331165,0.895909645909646,5194
1424.351265,0.895909645909646,5195
1424.371444,0.895909645909646,5196
1424.391653,0.895909645909646,5197
1424.411638,0.895909645909646,5198
1424.431722,0.895909645909646,5199
1424.451874,0.895909645909646,5200
1424.471945,0.8958791208791209,5201
1424.494121,0.895909645909646,5202
1424.514292,0.895909645909646,5203
1424.534374,0.895909645909646,5204
1424.554514,0.895909645909646,5205
1424.574581,0.895909645909646,5206
1424.594743,0.8958791208791209,5207
1424.614824,0.895909645909646,5208
1424.634892,0.895909645909646,5209
1424.654952,0.895909645909646,5210
1424.675026,0.895909645909646,5211
1424.695092,0.895909645909646,5212
1424.715263,0.895909645909646,5213
1424.735476,0.895940170940171,5214
1424.755695,0.895909645909646,5215
1424.775766,0.895909645909646,5216
1424.795824,0.895909645909646,5217
1424.815925,0.895909645909646,5218
1424.836047,0.895909645909646,5219
1424.856138,0.895909645909646,5220
1424.876205,0.895909645909646,5221
1424.896382,0.895909645909646,5222
1424.916456,0.895909645909646,5223
1424.936601,0.895909645909646,5224
1424.956659,0.895909645909646,5225
1424.976825,0.895909645909646,5226
1424.996913,0.895909645909646,5227
1425.016993,0.895909645909646,5228
1425.037123,0.8958791208791209,5229
1425.057217,0.8958791208791209,5230
1425.077371,0.8958791208791209,5231
1425.097447,0.895909645909646,5232
1425.117524,0.895909645909646,5233
1425.137605,0.8958791208791209,5234
1425.157751,0.8958791208791209,5235
1425.177955,0.895909645909646,5236
1425.19815,0.895909645909646,5237
1425.218286,0.895909645909646,5238
1425.238422,0.895909645909646,5239
1425.25849,0.895909645909646,5240
1425.278632,0.895909645909646,5241
1425.298717,0.895909645909646,5242
1425.318796,0.895909645909646,5243
1425.338968,0.895909645909646,5244
1425.359046,0.895909645909646,5245
1425.379108,0.895909645909646,5246
1425.399287,0.895909645909646,5247
1425.419354,0.895909645909646,5248
1425.439439,0.895909645909646,5249
1425.45968,0.895909645909646,5250
1425.479819,0.895909645909646,5251
1425.499921,0.895909645909646,5252
1425.519971,0.895909645909646,5253
1425.540075,0.895909645909646,5254
1425.560199,0.895909645909646,5255
1425.580288,0.895909645909646,5256
1425.600526,0.895909645909646,5257
1425.620531,0.895909645909646,5258
1425.640665,0.895909645909646,5259
1425.660742,0.895909645909646,5260
1425.680825,0.895909645909646,5261
