log_stamp,IMUData.w
288.073992,0.9808913308913308
288.076,0.9809218559218559
288.078007,0.981013431013431
288.080017,0.981074481074481
288.082018,0.9811660561660561
288.08402,0.9812881562881562
288.086021,0.9813492063492063
288.088028,0.9814407814407814
288.090036,0.9815018315018315
288.092037,0.9816239316239316
288.094042,0.9817765567765567
288.096049,0.9818376068376068
288.098059,0.9819902319902319
288.100089,0.9821428571428571
288.102094,0.9822344322344322
288.104105,0.9823870573870573
288.106114,0.9824786324786324
288.108123,0.9826312576312576
288.110135,0.9828144078144078
288.112144,0.9828754578754578
288.114152,0.983028083028083
288.11621,0.9832112332112332
288.118221,0.9832722832722832
288.120223,0.9834249084249084
288.122226,0.9835164835164835
288.124229,0.9836691086691086
288.126236,0.9837912087912087
288.128249,0.9838522588522588
288.130261,0.984004884004884
288.132263,0.984065934065934
288.134267,0.9841575091575091
288.136272,0.9842490842490842
288.138288,0.9842796092796092
288.140296,0.9843711843711843
288.142301,0.9844322344322344
288.14431,0.9844627594627594
288.146313,0.9844932844932844
288.148342,0.9845238095238095
288.150342,0.9845238095238095
288.152345,0.9845543345543345
288.154355,0.9845543345543345
288.156366,0.9845848595848595
288.158449,0.9845848595848595
288.160453,0.9845848595848595
288.16246,0.9845848595848595
288.16447,0.9845848595848595
288.166481,0.9845848595848595
288.168513,0.9845848595848595
288.170519,0.9845848595848595
288.17252,0.9846153846153847
288.174576,0.9846153846153847
288.176577,0.9846153846153847
288.178604,0.9846459096459097
288.180611,0.9846459096459097
288.182619,0.9846764346764347
288.18462,0.9847069597069598
288.186623,0.9847374847374848
288.188641,0.9847985347985349
288.190735,0.9848595848595849
288.192743,0.9848901098901099
288.194749,0.98495115995116
288.196759,0.9850122100122101
288.198771,0.9850732600732601
288.200772,0.9851648351648352
288.202779,0.9852258852258853
288.204786,0.9853174603174604
288.206869,0.9854090354090355
288.208875,0.9854395604395605
288.210875,0.9855616605616606
288.212877,0.9855921855921856
288.214883,0.9856837606837607
288.216886,0.9857753357753358
288.218894,0.9858058608058609
288.220901,0.985897435897436
288.222902,0.985927960927961
288.224912,0.985989010989011
288.226925,0.9860500610500611
288.228929,0.9860805860805861
288.230933,0.9861111111111112
288.232951,0.9861111111111112
288.234954,0.9861416361416362
